Eclipse Acceleo	3.7.12
Eclipse ATL	4.7.0
Eclipse BPMN2 Modeler Project	1.5.4
Eclipse Buildship: Eclipse Plug-ins for Gradle	3.1.6
Eclipse Business Process Model and Notation (BPMN2)	1.5.2
Eclipse CDO™ Model Repository	4.22.0
Eclipse CDT™ (C/C++ Development Tooling)	11.1.0
Eclipse Collections™	11.1.0
Eclipse Communication Framework	3.14.37
Eclipse Data Tools Platform	1.14.300
Eclipse Dynamic Languages Toolkit	6.2
Eclipse EclEmma	3.1.6
Eclipse Ecore Tools	3.4.0
Eclipse EGit™: Git Integration for Eclipse	6.5.0
Eclipse Embedded CDT (C/C++ Development Tools)	6.3.1
Eclipse EMF Client™ Platform	1.27.0
Eclipse EMF Compare	3.3.21
Eclipse EMF Parsley™	1.14.0
Eclipse EMF Services	1.13.2
Eclipse EMF™	2.33.0
Eclipse Extended Editing Framework (EEF)	2.1.5
Eclipse GMF Runtime™	1.15.3
Eclipse Graphical Editing Framework™ (GEF)	5.4.0 (2022-06)
Eclipse Graphiti™	0.19.1
Eclipse JGit™: Java implementation of Git	6.5.0
Eclipse JustJ™	1.1
Eclipse Linux Tools	8.10.0
Eclipse LSP4E	0.21.0
Eclipse LSP4J™	0.20.1
Eclipse Marketplace Client™	1.10.1
Eclipse Maven Integration - m2eclipse™	2.2.1
Eclipse MDT UML2	5.5.3
Eclipse MDT XSD™ (XML Schema Definition)	2.32.0
Eclipse Memory Analyzer™	1.14.0
Eclipse Modeling Workflow Engine™	2.14.0
Eclipse MoDisco	2021-12 (1.5.2)
Eclipse Mylyn	Docs 3.0.46
Eclipse OCL™ (Object Constraint Language)	2022-12 (6.18.0)
Eclipse Oomph™	1.28.0
Eclipse Packaging Project™	4.27.0
Eclipse Papyrus™	6.4.0
Eclipse Parallel Tools Platform (PTP)	9.4.0
Eclipse Passage™	2.7.0
Eclipse PHP Development Tools	7.2.1
Eclipse Project™	4.27.0
Eclipse QVT Operational	2022-06 (3.10.7)
Eclipse QVTd™ (QVT Declarative)	2022-12 (0.29.0)
Eclipse RCP Testing Tool	2.5.4
Eclipse RedDeer™	4.5.0
Eclipse Remote Application Platform™	3.24.0
Eclipse Scout™	23.1
Eclipse Sirius	7.0.7
Eclipse SWTBot™	4.0.0
Eclipse Target Communication Framework	1.7.0
Eclipse Target Management: Terminal and Remote System Explorer (RSE)	4.5.400
Eclipse TM4E™ - TextMate support in the Eclipse IDE 	0.6.2
Eclipse Trace Compass™	8.3.0
Eclipse User Storage Service SDK	1.2.2
Eclipse VIATRA™	2.7.1
Eclipse Web Tools Platform Project	3.29
Eclipse Wild Web Developer™	1.0.2
Eclipse WindowBuilder	1.11.0
Eclipse Xpand	2.2.0
Eclipse Xtext™	2.30.0
Eclipse XWT
